Date,Product,Category,Revenue,Orders,Region
21-Jan-2026,UI/UX Redesign,Design,"₹26,500",4,West
26-Jan-2026,Social Media Pack,Marketing,"₹18,500",12,East
28-Jan-2026,SEO Strategy,Marketing,"₹46,000",10,Central
03-Feb-2026,Social Media Pack,Marketing,"₹44,000",4,North
06-Feb-2026,Social Media Pack,Marketing,"₹13,000",2,North
08-Feb-2026,Content Writing Pack,Content,"₹46,000",2,North
14-Feb-2026,Website Audit,Consulting,"₹10,000",10,East
19-Feb-2026,Email Campaign,Marketing,"₹47,500",9,Central
28-Feb-2026,UI/UX Redesign,Design,"₹45,000",9,Central
04-Mar-2026,Content Writing Pack,Content,"₹30,000",12,West
06-Mar-2026,Social Media Pack,Marketing,"₹23,000",9,South
12-Mar-2026,Website Audit,Consulting,"₹15,500",9,North
12-Mar-2026,UI/UX Redesign,Design,"₹11,000",3,East
14-Mar-2026,Content Writing Pack,Content,"₹29,500",1,East
20-Mar-2026,Monthly Retainer,Consulting,"₹10,000",8,West
21-Mar-2026,Email Campaign,Marketing,"₹20,000",6,North
22-Mar-2026,Brand Identity Kit,Design,"₹24,000",8,West
22-Mar-2026,Social Media Pack,Marketing,"₹10,500",10,East
23-Mar-2026,Brand Identity Kit,Design,"₹36,500",10,Central
28-Mar-2026,Content Writing Pack,Content,"₹29,500",6,East
01-Apr-2026,UI/UX Redesign,Design,"₹50,000",10,West
04-Apr-2026,Content Writing Pack,Content,"₹41,000",10,South
06-Apr-2026,Google Ads Setup,Marketing,"₹13,000",3,Central
08-Apr-2026,Website Audit,Consulting,"₹21,000",3,West
11-Apr-2026,Website Audit,Consulting,"₹28,000",2,South
11-Apr-2026,Website Audit,Consulting,"₹44,000",6,East
11-Apr-2026,UI/UX Redesign,Design,"₹46,000",4,West
13-Apr-2026,Logo Design,Design,"₹29,000",2,North
16-Apr-2026,Social Media Pack,Marketing,"₹20,500",10,East
18-Apr-2026,Content Writing Pack,Content,"₹40,000",9,North
